	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap	variance	mutual_information
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5520 0.5329 0.4752 0.5520 0.5327 0.5520 0.5328 0.4982 0.5572 0.4604 0.5520 0.5217 0.5146 0.3286 0.5520 0.5329 0.4523 0.5520 0.4864 0.5085 0.5551 0.5260 0.5327 0.3359 0.5520 0.5329 0.4141 0.5520 0.5520 0.5329 0.3766 0.5520 0.5320 0.5844 0.4197	2.0237 1.9397 1.7225 2.0237 1.9391 2.0237 1.9397 1.8286 2.0388 1.6982 2.0237 1.8853 1.9211 1.3456 2.0237 1.9397 1.6730 2.0237 1.8019 1.8730 2.0313 1.9023 1.9773 1.3629 2.0237 1.9397 1.5757 2.0237 2.0237 1.9397 1.4767 2.0237 1.9370 2.0733 1.5754	0.2767 0.2504 0.1375 0.2767 0.2501 0.2767 0.2504 0.2134 0.2815 0.1241 0.2767 0.2266 0.2460 0.0573 0.2767 0.2504 0.1405 0.2767 0.2084 0.2501 0.2787 0.2334 0.2712 0.0651 0.2767 0.2504 0.1199 0.2767 0.2767 0.2504 0.0824 0.2767 0.2494 0.2889 0.0823	0.6659 0.6577 0.5769 0.6659 0.6575 0.6659 0.6577 0.6108 0.6712 0.5495 0.6659 0.6461 0.6353 0.3862 0.6659 0.6577 0.5570 0.6659 0.6074 0.6197 0.6697 0.6514 0.6442 0.3963 0.6659 0.6577 0.5088 0.6659 0.6659 0.6577 0.4446 0.6659 0.6568 0.7302 0.5060	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5520 0.5329 0.4494 0.5529 0.5527 0.5308 0.3791 0.5520 0.5329 0.3608 0.5520 0.5329 0.4299 0.5520 0.5209 0.5638 0.4151 0.5520 0.5328 0.5854 0.4199 0.5520 0.5328 0.5857 0.4205 0.5520 0.5328 0.5857 0.4206 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328	2.0237 1.9397 1.6618 2.0258 2.0255 1.9294 1.4893 2.0237 1.9397 1.4360 2.0237 1.9397 1.6090 2.0237 1.9002 2.0554 1.5748 2.0237 1.9396 2.0758 1.5763 2.0237 1.9394 2.0753 1.5775 2.0237 1.9394 2.0753 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394	0.2767 0.2504 0.1556 0.2772 0.2772 0.2456 0.0998 0.2767 0.2503 0.0968 0.2767 0.2503 0.1008 0.2767 0.2375 0.2881 0.0934 0.2767 0.2503 0.2893 0.0821 0.2767 0.2502 0.2891 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502	0.6659 0.6577 0.5692 0.6672 0.6668 0.6567 0.4550 0.6659 0.6577 0.4388 0.6659 0.6577 0.5185 0.6659 0.6448 0.6882 0.4969 0.6659 0.6576 0.7309 0.5056 0.6659 0.6576 0.7316 0.5067 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5520 0.5333 0.4137 0.5520 0.4377 0.5520 0.5149 0.5520 0.5328 0.3763 0.5520 0.3714 0.5520 0.4639 0.5520 0.5044 0.5662 0.4049 0.5520 0.5586 0.4735 0.5255 0.4618 0.5325 0.4989 0.5548 0.4713 0.5229 0.5032 0.5645 0.4748 0.5244 0.5016 0.5646 0.4771	2.0237 1.9397 1.5757 2.0237 1.6447 2.0237 1.8737 2.0237 1.9396 1.4759 2.0237 1.4734 2.0237 1.7376 2.0237 1.7945 2.0318 1.5615 2.0237 2.0292 1.8604 1.7804 1.8318 2.0276 1.7226 2.0329 1.7330 2.0292 1.7949 2.0405 1.7393 2.0383 1.7656 2.0440 1.7180	0.2767 0.2504 0.1194 0.2767 0.1348 0.2767 0.2230 0.2767 0.2503 0.0821 0.2767 0.1181 0.2767 0.1744 0.2767 0.2050 0.2783 0.1255 0.2767 0.2800 0.1986 0.2159 0.1712 0.2541 0.1960 0.2774 0.1505 0.2511 0.2294 0.2821 0.1285 0.2530 0.2143 0.2833 0.1221	0.6659 0.6581 0.5085 0.6659 0.5190 0.6659 0.6376 0.6659 0.6577 0.4444 0.6659 0.4574 0.6659 0.5905 0.6659 0.6029 0.6700 0.4773 0.6659 0.6699 0.6168 0.6025 0.6209 0.6245 0.5657 0.6689 0.5824 0.6463 0.6404 0.6888 0.5547 0.6474 0.6420 0.7144 0.5382	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0003 0.0000 0.0001 0.0000 0.0002 0.0001 0.0000 0.0000 0.0002 0.0001 0.0000 0.0000 0.0002	-0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0004 0.0002 0.0001 0.0000 0.0004 0.0115 0.0087 0.0194 0.0022 0.0126 0.0025 0.0191 0.0164 0.0025 0.0024 0.0282 0.0188 0.0044 0.0024 0.0304
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5521 0.5349 0.5620 0.4593 0.5520 0.5527 0.5293 0.3631 0.5520 0.5170 0.5495 0.4381 0.5520 0.5329 0.4024 0.5520 0.5033 0.5781 0.4013 0.5520 0.4611 0.5515 0.5520 0.5329 0.5679 0.5887 0.6452 0.5668 0.5553 0.5179 0.5554 0.4455 0.5520 0.5322 0.5850	2.0241 1.9423 2.0531 1.7125 2.0238 2.0254 1.9262 1.4411 2.0237 1.8882 1.9297 1.6574 2.0237 1.9397 1.5376 2.0237 1.8604 2.0592 1.5379 2.0237 1.7262 2.0327 2.0237 1.9397 1.9645 2.0399 1.9624 2.0284 2.0349 1.8799 2.0354 1.6381 2.0237 1.9394 2.0746	0.2768 0.2509 0.2851 0.1590 0.2767 0.2771 0.2455 0.0879 0.2767 0.2339 0.2169 0.2010 0.2767 0.2504 0.1034 0.2767 0.2365 0.2840 0.0994 0.2767 0.1794 0.2793 0.2767 0.2504 0.2355 0.2745 0.1978 0.2775 0.2800 0.2156 0.2797 0.1245 0.2767 0.2499 0.2888	0.6660 0.6623 0.6776 0.5573 0.6659 0.6668 0.6544 0.4349 0.6659 0.6400 0.6763 0.5503 0.6659 0.6577 0.4885 0.6659 0.6320 0.7171 0.4930 0.6659 0.5635 0.6682 0.6659 0.6577 0.7202 0.7449 0.8741 0.7415 0.6723 0.6576 0.6773 0.5361 0.6659 0.6574 0.7318	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0002 0.0000 0.0007 0.0000 0.0000 0.0002 0.0044 0.0000 0.0000 0.0003 0.0072 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0004 0.0000 0.0004 0.0003 0.0000 0.0000 0.0000 0.0001 0.0009 0.0160 0.0000 0.0008 0.0010 0.0018 0.0000 0.0000 0.0000
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5316 0.5520 0.5335 0.3997 0.5520 0.5329 0.5554 0.3866 0.5520 0.5303 0.4170 0.5520 0.4504 0.5520 0.5400 0.5496 0.5520 0.5330 0.3522 0.5520 0.5293 0.3749 0.5520 0.5325 0.5849 0.4199 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520	1.9337 2.0238 1.9411 1.5345 2.0237 1.9397 1.9983 1.4905 2.0237 1.9299 1.5838 2.0237 1.6873 2.0237 1.9230 1.9856 2.0237 1.9400 1.4104 2.0237 1.9284 1.4731 2.0237 1.9384 2.0737 1.5760 2.0237 1.9394 2.0753 1.5780 2.0237 1.9394 2.0752 1.5778 2.0237	0.2481 0.2767 0.2506 0.0917 0.2767 0.2504 0.2681 0.0791 0.2767 0.2472 0.1275 0.2767 0.1509 0.2767 0.2109 0.2632 0.2767 0.2504 0.1023 0.2767 0.2467 0.0842 0.2767 0.2499 0.2888 0.0821 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767	0.6574 0.6659 0.6584 0.4761 0.6659 0.6577 0.6894 0.4648 0.6659 0.6551 0.5167 0.6659 0.5503 0.6659 0.6457 0.6669 0.6659 0.6578 0.4258 0.6659 0.6537 0.4444 0.6659 0.6573 0.7310 0.5061 0.6659 0.6576 0.7318 0.5070 0.6659 0.6576 0.7318 0.5069 0.6659	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0020 0.0079 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5594 0.5145 0.4265 0.5124 0.5157 0.4045 0.5336 0.5162 0.5558 0.4342 0.5437 0.4422 0.5509 0.5396 0.5234 0.3652 0.5518 0.4743 0.5438 0.5704 0.4548 0.5320 0.5587 0.5125 0.5522 0.5306 0.5633 0.5728 0.5809 0.5504 0.5918 0.4991 0.5520 0.5219 0.5669	2.0085 1.8898 1.6042 1.9532 1.9434 1.5032 1.9984 1.9476 2.0109 1.5942 2.0020 1.7076 2.0173 1.9735 1.9119 1.4493 2.0235 1.7681 2.0068 2.0646 1.7077 1.9705 2.0385 1.8843 2.0244 1.9305 1.9645 1.9713 1.9314 1.9254 2.0861 1.7516 2.0237 1.8711 2.0518	0.2521 0.2486 0.1343 0.2681 0.2412 0.0855 0.2767 0.2500 0.2779 0.1022 0.2767 0.1762 0.2717 0.2772 0.2390 0.1049 0.2767 0.2025 0.2761 0.2880 0.1462 0.2768 0.2802 0.2239 0.2769 0.2475 0.2392 0.2567 0.1982 0.2360 0.2885 0.1389 0.2767 0.2285 0.2870	0.6627 0.6541 0.5262 0.6158 0.6387 0.4894 0.6488 0.6447 0.6894 0.5392 0.6564 0.5332 0.6656 0.6522 0.6476 0.4380 0.6659 0.6001 0.6629 0.6923 0.5528 0.6474 0.6722 0.6360 0.6663 0.6560 0.7121 0.7232 0.7539 0.6714 0.7219 0.6183 0.6659 0.6401 0.6875	0.0000 0.0001 0.0004 0.0001 0.0000 0.0001 0.0001 0.0000 0.0000 0.0001 0.0000 0.0001 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0003 0.0000 0.0001 0.0000	0.0095 0.0091 0.0280 0.0023 0.0022 0.0110 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0008 0.0001 0.0000 0.0004 0.0127 0.0005 0.0041 0.0003 0.0002 0.0033 0.0011 0.0000 0.0017 0.0000 0.0000 0.0002 0.0037 0.0156 0.0204 0.0039 0.0032 0.0000 0.0016 0.0010
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5316 0.5520 0.5326 0.5110 0.5520 0.4377 0.5520 0.3986 0.5520 0.5306 0.4850 0.5520 0.5108 0.2241 0.5520 0.5320 0.5836 0.4188 0.5520 0.5328 0.5858 0.4208 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520	1.9337 2.0237 1.9391 1.8016 2.0237 1.6509 2.0237 1.5381 2.0237 1.9344 1.7485 2.0237 1.8724 1.0474 2.0237 1.9370 2.0721 1.5735 2.0237 1.9393 2.0753 1.5782 2.0237 1.9394 2.0752 1.5779 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237	0.2481 0.2767 0.2504 0.1557 0.2767 0.1440 0.2767 0.1168 0.2767 0.2483 0.1826 0.2767 0.2320 0.0940 0.2767 0.2496 0.2887 0.0823 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767	0.6574 0.6659 0.6575 0.6321 0.6659 0.5357 0.6659 0.4872 0.6659 0.6559 0.6072 0.6659 0.6317 0.2904 0.6659 0.6568 0.7284 0.5042 0.6659 0.6576 0.7319 0.5071 0.6659 0.6576 0.7318 0.5070 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5520 0.5329 0.5577 0.3857 0.5520 0.5325 0.4638 0.5520 0.5118 0.5537 0.4267 0.5520 0.5328 0.5854 0.4198 0.5520 0.5328 0.5857 0.4205 0.5520 0.5328 0.5857 0.4206 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207	2.0237 1.9397 2.0086 1.4892 2.0237 1.9386 1.6745 2.0237 1.8658 2.0291 1.6126 2.0237 1.9396 2.0758 1.5761 2.0237 1.9394 2.0753 1.5775 2.0237 1.9394 2.0753 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778	0.2767 0.2504 0.2713 0.0729 0.2767 0.2500 0.1095 0.2767 0.2239 0.2789 0.1167 0.2767 0.2503 0.2894 0.0820 0.2767 0.2502 0.2891 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822	0.6659 0.6577 0.6938 0.4618 0.6659 0.6574 0.5784 0.6659 0.6344 0.6689 0.5182 0.6659 0.6576 0.7308 0.5055 0.6659 0.6576 0.7316 0.5067 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5520 0.5329 0.3712 0.5520 0.5202 0.5520 0.5332 0.3624 0.5520 0.4417 0.5520 0.5520 0.5323 0.5635 0.5835 0.5809 0.5521 0.6060 0.5035 0.5520 0.5166 0.5627 0.4517 0.5549 0.4994 0.5751 0.4478 0.5610 0.4917 0.5751 0.4479 0.5617 0.4916 0.5751 0.4479	2.0237 1.9397 1.4650 2.0237 1.9012 2.0237 1.9405 1.4412 2.0237 1.6639 2.0237 2.0237 1.9386 1.9481 2.0839 1.8902 2.0240 2.1091 1.7167 2.0237 1.8974 2.0624 1.6228 2.0257 1.8931 2.0697 1.6046 2.0292 1.8848 2.0706 1.6037 2.0292 1.8849 2.0708 1.6035	0.2767 0.2504 0.0886 0.2767 0.2387 0.2767 0.2505 0.0921 0.2767 0.1478 0.2767 0.2767 0.2504 0.2278 0.2900 0.1748 0.2767 0.2957 0.1220 0.2767 0.2185 0.2856 0.1262 0.2799 0.1971 0.2855 0.1193 0.2806 0.1867 0.2855 0.1190 0.2808 0.1867 0.2855 0.1189	0.6659 0.6577 0.4399 0.6659 0.6442 0.6659 0.6581 0.4361 0.6659 0.5509 0.6659 0.6658 0.6574 0.7153 0.7231 0.7632 0.6662 0.7220 0.6151 0.6660 0.6609 0.6969 0.5269 0.6659 0.6570 0.7287 0.5076 0.6659 0.6576 0.7320 0.5072 0.6659 0.6576 0.7318 0.5070	0.0000 0.0000 0.0003 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0006 0.0002 0.0003 0.0001 0.0003 0.0001 0.0000 0.0002 0.0004 0.0002 0.0000 0.0003 0.0004 0.0002 0.0000 0.0003 0.0004	0.0007 0.0006 0.0172 0.0132 0.0011 0.0007 0.0005 0.0004 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0001 0.0018 0.0000 0.0059 0.0243 0.0172 0.0051 0.0067 0.0182 0.0075 0.0080 0.0150 0.0255 0.0089 0.0091 0.0189 0.0257 0.0089 0.0091 0.0190 0.0258
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5316 0.5240 0.5520 0.5546 0.5256 0.2118 0.5520 0.5325 0.5843 0.4192 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520 0.5328 0.5857 0.4207 0.5520	1.9337 1.8253 2.0236 2.0308 1.9128 0.9722 2.0237 1.9387 2.0731 1.5745 2.0237 1.9394 2.0753 1.5779 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237 1.9394 2.0752 1.5778 2.0237	0.2481 0.1647 0.2767 0.2784 0.2406 0.0698 0.2767 0.2500 0.2888 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767 0.2502 0.2890 0.0822 0.2767	0.6574 0.6538 0.6659 0.6694 0.6489 0.2585 0.6659 0.6573 0.7295 0.5046 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659 0.6576 0.7318 0.5069 0.6659	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
