	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap	variance	mutual_information
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 9 9 18 16 16 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4297 0.4309 0.6883 0.7369 0.7805 0.7847 0.7731 0.7611 0.6969 0.8141 0.7001 0.5392 0.1951 0.2387 0.5732 0.6518 0.5251 0.5411 0.0775 0.0220 0.0328 0.1169 0.3134 0.1444 0.1018 0.3018 0.0870 0.0951 0.2732 0.5186 0.5121 0.1805 0.4080 0.5379 0.5818	1.4198 1.4882 2.0338 2.1940 2.2647 2.3143 2.3522 2.3696 2.2689 2.3683 2.2196 1.9499 0.9133 0.9339 1.7582 2.0733 1.8780 1.9443 0.4383 0.1444 0.2015 0.5810 1.2697 0.7101 0.5396 1.2928 0.4788 0.5143 1.1853 1.8564 1.7642 0.8197 1.5057 1.7762 1.8443	0.1068 0.1267 0.2227 0.2654 0.2866 0.3064 0.3152 0.3299 0.3172 0.3190 0.2823 0.2435 0.0859 0.0721 0.1964 0.2581 0.2230 0.2364 0.0374 0.0058 0.0085 0.0366 0.1152 0.0577 0.0430 0.1443 0.0416 0.0434 0.1246 0.2154 0.1912 0.0633 0.1484 0.1808 0.1864	0.4841 0.4878 0.7679 0.8219 0.8666 0.8651 0.8570 0.8382 0.7650 0.8951 0.7783 0.6071 0.2295 0.2700 0.6404 0.7312 0.5933 0.6106 0.0917 0.0262 0.0389 0.1368 0.3610 0.1694 0.1205 0.3519 0.1041 0.1123 0.3139 0.5828 0.5696 0.2045 0.4537 0.5984 0.6507	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4617 0.2071 0.2526 0.0882 0.1035 0.2442 0.4228 0.4774 0.3643 0.6571 0.6879 0.5358 0.3414 0.0745 0.2116 0.3658 0.4659 0.5201 0.5489 0.5639 0.5719 0.5768 0.5799 0.5822 0.5835 0.5847 0.5852 0.5864 0.5864 0.5868 0.5868 0.5868 0.5869 0.5872 0.5872	1.4575 0.9158 1.0916 0.4460 0.5061 1.0074 1.5145 1.7051 1.4315 2.1681 2.2504 1.9467 1.4187 0.4218 0.9962 1.4674 1.6864 1.7705 1.7993 1.8088 1.8108 1.8100 1.8102 1.8108 1.8113 1.8107 1.8116 1.8112 1.8119 1.8123 1.8132 1.8144 1.8133 1.8143 1.8146	0.1040 0.0689 0.0980 0.0204 0.0242 0.0700 0.1353 0.1762 0.1481 0.2728 0.2992 0.2533 0.1752 0.0352 0.1056 0.1560 0.1741 0.1775 0.1767 0.1748 0.1732 0.1722 0.1714 0.1709 0.1705 0.1703 0.1702 0.1703 0.1702 0.1700 0.1701 0.1702 0.1703 0.1702 0.1705	0.5262 0.2447 0.2953 0.1025 0.1199 0.2808 0.4798 0.5421 0.4209 0.7406 0.7704 0.6074 0.3912 0.0881 0.2451 0.4196 0.5332 0.5949 0.6273 0.6446 0.6543 0.6599 0.6635 0.6655 0.6672 0.6690 0.6695 0.6701 0.6710 0.6712 0.6719 0.6725 0.6725 0.6723 0.6726	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 16 18 18 18 18 18 16 18 18 18 18 18 18 18 18 18 18 18 18	0.4612 0.3616 0.1239 0.1206 0.1608 0.2809 0.4124 0.1763 0.1765 0.2323 0.3102 0.2249 0.3482 0.4993 0.5937 0.7949 0.7380 0.7320 0.3047 0.4805 0.4091 0.5822 0.7900 0.4441 0.6170 0.6639 0.6553 0.6369 0.6212 0.6085 0.6003 0.5950 0.5918 0.5897 0.5888	1.4560 1.2641 0.5579 0.5627 0.7433 1.1732 1.5917 0.8452 0.8423 1.0005 1.1828 0.9282 1.3621 1.8166 2.0396 2.3254 2.3398 2.2494 1.2676 1.7822 1.5947 2.0422 2.4073 1.6620 2.0150 2.0516 2.0072 1.9534 1.9082 1.8759 1.8528 1.8396 1.8292 1.8235 1.8205	0.1038 0.0903 0.0289 0.0330 0.0579 0.1135 0.1751 0.0780 0.0759 0.0849 0.1030 0.0786 0.1415 0.2130 0.2460 0.3029 0.3218 0.2864 0.1250 0.2054 0.1775 0.2554 0.3333 0.1811 0.2365 0.2338 0.2184 0.2037 0.1926 0.1848 0.1796 0.1762 0.1741 0.1728 0.1719	0.5242 0.4138 0.1410 0.1395 0.1879 0.3259 0.4748 0.2086 0.2083 0.2657 0.3509 0.2550 0.3979 0.5681 0.6677 0.8746 0.8118 0.8088 0.3531 0.5521 0.4738 0.6649 0.8758 0.5029 0.6850 0.7377 0.7335 0.7179 0.7028 0.6916 0.6839 0.6798 0.6764 0.6745 0.6734	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4568 0.2160 0.2230 0.2691 0.3685 0.2565 0.4315 0.3504 0.1393 0.2709 0.5349 0.5509 0.5633 0.3992 0.2755 0.0676 0.0911 0.1956 0.0491 0.1163 0.2890 0.3582 0.1805 0.0479 0.1843 0.3477 0.4575 0.5172 0.5482 0.5644 0.5726 0.5774 0.5799 0.5822 0.5836	1.4503 0.8818 0.9520 1.1285 1.4679 1.1090 1.6285 1.4074 0.6866 1.1832 1.9464 1.7041 1.8004 1.3316 1.1113 0.3700 0.4725 0.8752 0.2924 0.6047 1.2382 1.4091 0.8456 0.2857 0.8619 1.3669 1.6235 1.7318 1.7772 1.7969 1.8059 1.8093 1.8122 1.8112 1.8115	0.1034 0.0493 0.0661 0.0955 0.1528 0.1006 0.1718 0.1481 0.0573 0.1223 0.2397 0.1937 0.2117 0.1274 0.1083 0.0188 0.0260 0.0658 0.0179 0.0502 0.1266 0.1408 0.0737 0.0173 0.0761 0.1299 0.1566 0.1671 0.1705 0.1713 0.1714 0.1711 0.1706 0.1707 0.1705	0.5199 0.2519 0.2634 0.3153 0.4289 0.2974 0.4920 0.4046 0.1636 0.3155 0.6078 0.6136 0.6332 0.4452 0.3135 0.0795 0.1071 0.2272 0.0589 0.1375 0.3333 0.4054 0.2085 0.0566 0.2123 0.3959 0.5214 0.5899 0.6255 0.6446 0.6553 0.6610 0.6647 0.6669 0.6685	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4587 0.2449 0.2506 0.2795 0.3922 0.5581 0.6370 0.6420 0.7003 0.3765 0.0811 0.0944 0.2384 0.2776 0.2938 0.1311 0.3489 0.4083 0.2182 0.3019 0.4468 0.4275 0.1510 0.3738 0.5133 0.5660 0.5835 0.5878 0.5882 0.5875 0.5861 0.5858 0.5852 0.5851 0.5858	1.4517 1.0212 1.0798 1.1913 1.5362 1.9998 2.1544 2.1421 2.2470 1.5136 0.4455 0.5111 1.0750 1.1946 1.2496 0.6561 1.3953 1.5944 1.0023 1.2921 1.7152 1.6122 0.7236 1.4318 1.7365 1.8213 1.8391 1.8369 1.8315 1.8248 1.8207 1.8167 1.8145 1.8126 1.8125	0.1034 0.0697 0.0956 0.1138 0.1609 0.2468 0.2723 0.2671 0.2876 0.1764 0.0364 0.0472 0.1195 0.1280 0.1321 0.0514 0.1389 0.1791 0.1031 0.1459 0.2041 0.1747 0.0556 0.1411 0.1761 0.1831 0.1820 0.1791 0.1763 0.1742 0.1730 0.1718 0.1712 0.1708 0.1705	0.5226 0.2880 0.2981 0.3297 0.4549 0.6360 0.7181 0.7210 0.7831 0.4359 0.0965 0.1119 0.2763 0.3235 0.3436 0.1572 0.4071 0.4706 0.2570 0.3525 0.5150 0.4865 0.1739 0.4194 0.5747 0.6363 0.6589 0.6669 0.6697 0.6702 0.6705 0.6705 0.6698 0.6700 0.6706	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4566 0.2147 0.1081 0.1317 0.1695 0.2470 0.3257 0.4517 0.2934 0.2031 0.0286 0.0209 0.0210 0.1052 0.4632 0.5061 0.5499 0.5094 0.1372 0.1326 0.0874 0.1301 0.3099 0.5196 0.7147 0.2875 0.4981 0.5915 0.6105 0.6092 0.6024 0.5963 0.5921 0.5896 0.5877	1.4520 0.8788 0.5525 0.6571 0.7983 1.0227 1.2312 1.6099 1.2383 0.9626 0.1885 0.1427 0.1441 0.5695 1.8012 1.8913 1.9778 1.8818 0.6497 0.6349 0.4668 0.6597 1.3189 1.9113 2.2843 1.2248 1.7873 1.9354 1.9341 1.9049 1.8762 1.8551 1.8394 1.8286 1.8226	0.1039 0.0491 0.0357 0.0501 0.0638 0.0811 0.1009 0.1609 0.1245 0.1013 0.0133 0.0082 0.0090 0.0551 0.2301 0.2364 0.2453 0.2306 0.0398 0.0392 0.0306 0.0549 0.1458 0.2359 0.2985 0.1215 0.1998 0.2124 0.2045 0.1944 0.1863 0.1808 0.1771 0.1745 0.1729	0.5193 0.2507 0.1298 0.1571 0.1997 0.2819 0.3675 0.5063 0.3358 0.2365 0.0345 0.0252 0.0254 0.1243 0.5267 0.5811 0.6277 0.5844 0.1599 0.1549 0.1036 0.1544 0.3610 0.5909 0.7958 0.3286 0.5576 0.6608 0.6858 0.6879 0.6836 0.6790 0.6764 0.6737 0.6725	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4633 0.6173 0.6615 0.6222 0.4816 0.2108 0.4833 0.5073 0.4843 0.0704 0.0539 0.0591 0.0919 0.0331 0.1398 0.3002 0.4269 0.4998 0.5387 0.5594 0.5711 0.5768 0.5796 0.5825 0.5838 0.5845 0.5856 0.5860 0.5861 0.5867 0.5869 0.5871 0.5870 0.5876 0.5879	1.4581 1.7902 2.0348 2.0310 1.7415 0.9588 1.7733 1.8533 1.8655 0.4066 0.3240 0.3496 0.5048 0.2118 0.7035 1.2435 1.5607 1.7023 1.7629 1.7887 1.8010 1.8055 1.8082 1.8094 1.8101 1.8105 1.8114 1.8117 1.8119 1.8121 1.8132 1.8132 1.8144 1.8146 1.8145	0.1040 0.1632 0.2161 0.2286 0.1844 0.0856 0.2010 0.2189 0.2441 0.0368 0.0267 0.0287 0.0448 0.0130 0.0623 0.1184 0.1505 0.1639 0.1690 0.1706 0.1710 0.1706 0.1706 0.1704 0.1702 0.1702 0.1703 0.1702 0.1702 0.1701 0.1702 0.1702 0.1702 0.1701 0.1701	0.5265 0.6954 0.7544 0.7109 0.5524 0.2458 0.5463 0.5735 0.5568 0.0843 0.0650 0.0709 0.1094 0.0398 0.1623 0.3439 0.4871 0.5705 0.6152 0.6391 0.6519 0.6590 0.6640 0.6661 0.6676 0.6695 0.6700 0.6708 0.6709 0.6706 0.6710 0.6724 0.6727 0.6725 0.6731	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4636 0.1828 0.2053 0.2308 0.0365 0.0404 0.1232 0.0447 0.1744 0.3395 0.4542 0.5168 0.5486 0.5652 0.5739 0.5793 0.5819 0.5842 0.5847 0.5857 0.5857 0.5860 0.5867 0.5874 0.5873 0.5876 0.5876 0.5876 0.5879 0.5879 0.5881 0.5876 0.5874 0.5881 0.5878	1.4593 0.7963 0.9091 1.0447 0.2304 0.2521 0.6455 0.2754 0.8503 1.3826 1.6476 1.7524 1.7930 1.8079 1.8122 1.8139 1.8142 1.8142 1.8137 1.8134 1.8135 1.8135 1.8145 1.8151 1.8153 1.8153 1.8161 1.8169 1.8152 1.8159 1.8155 1.8161 1.8159 1.8149 1.8152	0.1040 0.0468 0.0678 0.1037 0.0155 0.0189 0.0655 0.0201 0.0855 0.1429 0.1673 0.1743 0.1751 0.1743 0.1732 0.1723 0.1716 0.1711 0.1709 0.1707 0.1707 0.1705 0.1706 0.1706 0.1705 0.1704 0.1704 0.1704 0.1704 0.1703 0.1703 0.1702 0.1703 0.1704 0.1704	0.5275 0.2145 0.2423 0.2756 0.0446 0.0488 0.1461 0.0539 0.2031 0.3903 0.5190 0.5897 0.6267 0.6460 0.6565 0.6621 0.6653 0.6675 0.6683 0.6701 0.6717 0.6709 0.6718 0.6715 0.6723 0.6725 0.6727 0.6736 0.6734 0.6733 0.6739 0.6746 0.6740 0.6737 0.6740	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4637 0.1828 0.1062 0.1353 0.0220 0.0233 0.0521 0.0940 0.3180 0.3478 0.4447 0.4468 0.1224 0.3026 0.4448 0.5168 0.5506 0.5665 0.5737 0.5777 0.5798 0.5816 0.5821 0.5828 0.5843 0.5851 0.5857 0.5855 0.5864 0.5869 0.5869 0.5870 0.5867 0.5873 0.5876	1.4586 0.7945 0.5379 0.6699 0.1482 0.1532 0.3091 0.5032 1.3285 1.4160 1.7150 1.7357 0.6331 1.2837 1.6475 1.7738 1.8125 1.8206 1.8200 1.8166 1.8143 1.8125 1.8115 1.8114 1.8115 1.8119 1.8114 1.8115 1.8121 1.8124 1.8126 1.8130 1.8142 1.8145 1.8149	0.1041 0.0468 0.0327 0.0508 0.0081 0.0081 0.0223 0.0401 0.1401 0.1507 0.2041 0.2132 0.0551 0.1361 0.1743 0.1829 0.1819 0.1791 0.1761 0.1742 0.1727 0.1717 0.1710 0.1707 0.1703 0.1704 0.1703 0.1705 0.1703 0.1703 0.1701 0.1702 0.1702 0.1705 0.1706	0.5269 0.2139 0.1267 0.1607 0.0268 0.0280 0.0625 0.1128 0.3706 0.4020 0.5074 0.5085 0.1427 0.3446 0.5042 0.5864 0.6256 0.6450 0.6549 0.6601 0.6633 0.6653 0.6666 0.6679 0.6684 0.6694 0.6702 0.6710 0.6707 0.6714 0.6716 0.6717 0.6727 0.6726 0.6732	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4639 0.4370 0.3338 0.2126 0.4172 0.1326 0.3407 0.4880 0.5504 0.5744 0.5830 0.5856 0.5860 0.5861 0.5858 0.5856 0.5862 0.5858 0.5863 0.5862 0.5865 0.5869 0.5868 0.5877 0.5878 0.5873 0.5876 0.5882 0.5879 0.5879 0.5881 0.5885 0.5884 0.5888 0.5883	1.4592 1.5024 1.2940 0.9152 1.5102 0.6464 1.3350 1.6827 1.7927 1.8250 1.8304 1.8279 1.8226 1.8192 1.8166 1.8156 1.8145 1.8142 1.8140 1.8138 1.8147 1.8143 1.8150 1.8141 1.8151 1.8153 1.8154 1.8150 1.8154 1.8159 1.8152 1.8159 1.8155 1.8163 1.8160	0.1040 0.1227 0.1098 0.0661 0.1377 0.0432 0.1222 0.1639 0.1763 0.1782 0.1770 0.1752 0.1735 0.1725 0.1717 0.1711 0.1708 0.1705 0.1705 0.1704 0.1702 0.1701 0.1702 0.1702 0.1704 0.1703 0.1704 0.1705 0.1704 0.1704 0.1705 0.1705 0.1706 0.1706 0.1707	0.5273 0.5023 0.3865 0.2449 0.4734 0.1534 0.3850 0.5490 0.6216 0.6503 0.6625 0.6680 0.6694 0.6704 0.6713 0.6709 0.6711 0.6715 0.6723 0.6724 0.6726 0.6724 0.6733 0.6730 0.6730 0.6723 0.6732 0.6730 0.6729 0.6731 0.6730 0.6732 0.6739 0.6739 0.6738	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
