	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap	variance	mutual_information
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5417 0.4694 0.5016 0.5415 0.5349 0.5028 0.5017 0.5432 0.5479 0.4578 0.5016 0.5417 0.4537 0.5016 0.5417 0.5286 0.4593 0.5016 0.2958 0.4905 0.5016 0.5418 0.4868 0.4646 0.5016 0.3683 0.5016 0.5417 0.5247 0.5469 0.4097 0.5016 0.5407 0.4776	1.9255 1.9270 1.7300 1.9255 1.9264 1.8648 1.9285 1.9258 1.9248 1.9510 1.6873 1.9255 1.9269 1.6927 1.9255 1.9270 1.9853 1.7180 1.9255 1.2816 1.8290 1.9255 1.9269 1.7866 1.6977 1.9255 1.5101 1.9255 1.9270 1.9365 1.9637 1.5662 1.9255 1.9234 1.7226	0.2673 0.2418 0.1224 0.2673 0.2415 0.1855 0.2680 0.2674 0.2389 0.2554 0.0990 0.2673 0.2418 0.1203 0.2673 0.2418 0.2784 0.1204 0.2673 0.1420 0.2648 0.2673 0.2418 0.2156 0.1275 0.2673 0.1261 0.2673 0.2418 0.2628 0.2630 0.0896 0.2673 0.2403 0.1257	0.5963 0.6831 0.5559 0.5963 0.6827 0.6726 0.5987 0.5966 0.6861 0.6907 0.5672 0.5963 0.6831 0.5455 0.5963 0.6831 0.6410 0.5564 0.5963 0.3772 0.5848 0.5963 0.6836 0.6254 0.5609 0.5963 0.4297 0.5963 0.6831 0.6532 0.6978 0.5090 0.5963 0.6821 0.5828	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0012 -0.0000 0.0000 0.0000 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5417 0.4745 0.5016 0.5417 0.5333 0.4365 0.5016 0.5278 0.5188 0.5015 0.5415 0.5284 0.4229 0.5016 0.5370 0.5174 0.5016 0.4991 0.5018 0.4417 0.5013 0.4072 0.5016 0.4282 0.5016 0.4371 0.5015 0.4343 0.5016 0.4167 0.5013 0.4493 0.5016 0.4248	1.9254 1.9267 1.7237 1.9255 1.9270 1.8604 1.6391 1.9255 1.8794 1.9076 1.9254 1.9258 1.9786 1.6159 1.9255 1.9059 1.7505 1.9254 1.8044 1.9263 1.6374 1.9163 1.5414 1.9254 1.6531 1.7985 1.7011 1.8587 1.6877 1.8414 1.7201 1.8815 1.6464 1.8463 1.6941	0.2673 0.2418 0.1197 0.2673 0.2418 0.2241 0.0973 0.2673 0.2204 0.2502 0.2673 0.2417 0.2753 0.1074 0.2673 0.2323 0.1512 0.2673 0.1876 0.2675 0.1724 0.2667 0.1394 0.2673 0.1486 0.2673 0.1556 0.2673 0.1525 0.2673 0.1512 0.2673 0.1529 0.2673 0.1427	0.5963 0.6831 0.5784 0.5963 0.6831 0.7032 0.5229 0.5963 0.6637 0.6417 0.5963 0.6837 0.6413 0.5177 0.5963 0.6777 0.6929 0.5963 0.6185 0.5967 0.5797 0.5986 0.5173 0.5963 0.5437 0.5964 0.5328 0.5966 0.5494 0.5966 0.5447 0.5985 0.5275 0.5963 0.5265	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002	0.0000 0.0005 0.0102 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0000 0.0000 0.0005 0.0011 0.0038 0.0000 0.0082 0.0094 0.0079 0.0025 0.0083 0.0043 0.0067 0.0030 0.0117 0.0049 0.0095
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5020 0.5386 0.4246 0.5018 0.5379 0.5022 0.5359 0.5015 0.5423 0.5016 0.5417 0.5026 0.5396 0.5220 0.4189 0.5016 0.5930 0.5371 0.4777 0.4911 0.4742 0.4903 0.4893 0.5016 0.5420 0.4748 0.5016 0.4869 0.5016 0.4105 0.5016 0.4352 0.5016 0.4389 0.5017	1.9288 1.8801 1.6934 1.9273 1.9070 1.9273 1.8982 1.9254 1.9266 1.9255 1.9270 1.9278 1.9021 1.9405 1.5724 1.9255 2.0216 1.8621 1.8729 1.8419 1.7612 1.7289 1.8958 1.9255 1.9272 1.7213 1.9255 1.7812 1.9256 1.5878 1.9254 1.6565 1.9255 1.6741 1.9259	0.2680 0.2327 0.1272 0.2673 0.2331 0.2677 0.2304 0.2673 0.2415 0.2673 0.2418 0.2678 0.2275 0.2646 0.1210 0.2673 0.2412 0.1861 0.2096 0.2501 0.1740 0.2362 0.2414 0.2673 0.2418 0.1231 0.2673 0.1800 0.2674 0.1503 0.2673 0.1451 0.2673 0.1635 0.2674	0.6000 0.6760 0.5171 0.5968 0.6809 0.5975 0.6779 0.5963 0.6847 0.5963 0.6832 0.5978 0.6828 0.6377 0.5130 0.5963 0.7406 0.6410 0.5563 0.5912 0.5568 0.5409 0.6454 0.5963 0.6840 0.5722 0.5963 0.5982 0.5964 0.5141 0.5963 0.5201 0.5963 0.5319 0.5963	0.0000 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0000 0.0001 0.0002 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000	0.0001 0.0020 0.0221 0.0000 0.0001 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0009 0.0296 0.0071 0.0041 0.0317 0.0176 0.0164 -0.0000 0.0000 0.0001 0.0000 0.0001 0.0000 0.0014 0.0000 0.0022 0.0000 0.0071 0.0000
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5417 0.4912 0.5088 0.5016 0.5410 0.5404 0.5468 0.4592 0.5016 0.5182 0.4273 0.5016 0.5417 0.5265 0.4037 0.5016 0.5415 0.4186 0.5016 0.5417 0.5016 0.5417 0.5016 0.5424 0.4729 0.5016 0.4911 0.5016 0.4175 0.5015 0.4091 0.5016 0.4856 0.5017	1.9255 1.9270 1.7430 1.7897 1.9255 1.9227 1.9487 2.0144 1.7254 1.9255 1.9140 1.6356 1.9255 1.9268 1.9615 1.5689 1.9255 1.9259 1.6127 1.9255 1.9270 1.9255 1.9270 1.9255 1.9274 1.7182 1.9255 1.7903 1.9256 1.5966 1.9254 1.5901 1.9255 1.7798 1.9261	0.2673 0.2418 0.1972 0.1839 0.2673 0.2397 0.2554 0.2792 0.1399 0.2673 0.2584 0.1031 0.2673 0.2417 0.2695 0.0953 0.2673 0.2413 0.1052 0.2673 0.2418 0.2673 0.2418 0.2673 0.2417 0.1222 0.2673 0.1815 0.2674 0.1534 0.2673 0.1375 0.2673 0.1745 0.2674	0.5963 0.6831 0.6594 0.6596 0.5963 0.6826 0.6723 0.6594 0.5572 0.5963 0.6502 0.5054 0.5963 0.6831 0.6410 0.4866 0.5963 0.6830 0.5025 0.5963 0.6831 0.5963 0.6832 0.5964 0.6846 0.5712 0.5963 0.6029 0.5964 0.5280 0.5963 0.4949 0.5963 0.5830 0.5964	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0001 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0002 0.0000 0.0001 0.0000 0.0008 0.0000
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5417 0.4594 0.5016 0.5401 0.6121 0.6461 0.5680 0.5016 0.5417 0.4204 0.5016 0.5417 0.4211 0.5016 0.5417 0.4512 0.5016 0.5417 0.5450 0.5946 0.5016 0.5417 0.5718 0.5385 0.5121 0.4518 0.5016 0.4716 0.5016 0.4021 0.5016 0.4970 0.5031 0.4402	1.9255 1.9270 1.7053 1.9255 1.9133 2.0407 1.9605 1.9355 1.9255 1.9270 1.6174 1.9255 1.9270 1.6177 1.9255 1.9270 1.6814 1.9255 1.9270 1.8973 1.9496 1.9255 1.9270 1.8990 1.9708 1.7064 1.6168 1.9255 1.7359 1.9255 1.5876 1.9255 1.7954 1.9296 1.6439	0.2673 0.2418 0.1102 0.2673 0.2325 0.2528 0.1997 0.2112 0.2673 0.2418 0.1061 0.2673 0.2418 0.1119 0.2673 0.2418 0.1033 0.2673 0.2418 0.2192 0.1519 0.2673 0.2418 0.2042 0.2673 0.1802 0.1133 0.2673 0.1641 0.2673 0.1333 0.2673 0.1952 0.2690 0.1943	0.5963 0.6831 0.5520 0.5963 0.6803 0.7797 0.8821 0.7014 0.5963 0.6831 0.5046 0.5963 0.6831 0.5003 0.5963 0.6831 0.5456 0.5963 0.6831 0.6769 0.7159 0.5963 0.6831 0.7465 0.6689 0.7221 0.5912 0.5963 0.5766 0.5963 0.4797 0.5963 0.6213 0.6005 0.5814	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0100 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0000 0.0003 0.0000 0.0017 0.0000 0.0034 0.0001 0.0094
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5417 0.4522 0.5016 0.5416 0.5016 0.5417 0.5033 0.5228 0.5051 0.5061 0.4574 0.5016 0.5416 0.5017 0.5422 0.5884 0.5016 0.5417 0.4532 0.5016 0.5417 0.5031 0.5458 0.5357 0.5016 0.5417 0.4761 0.5016 0.4838 0.5016 0.4063 0.5016 0.4544 0.5016	1.9255 1.9269 1.6873 1.9255 1.9265 1.9255 1.9270 1.9301 1.8596 1.9349 1.9372 1.7372 1.9255 1.9266 1.9257 1.9254 1.9322 1.9255 1.9270 1.6913 1.9255 1.9270 1.9287 1.9134 1.8499 1.9255 1.9270 1.7231 1.9255 1.7752 1.9255 1.5814 1.9255 1.6967 1.9255	0.2673 0.2418 0.1165 0.2673 0.2415 0.2673 0.2418 0.2688 0.2000 0.2692 0.2701 0.1672 0.2673 0.2417 0.2674 0.2410 0.1709 0.2673 0.2418 0.1084 0.2673 0.2418 0.2680 0.2308 0.1365 0.2673 0.2418 0.1247 0.2673 0.1764 0.2673 0.1424 0.2673 0.1629 0.2673	0.5963 0.6831 0.5453 0.5963 0.6829 0.5963 0.6832 0.5996 0.6522 0.6015 0.6027 0.5524 0.5963 0.6830 0.5965 0.6852 0.7457 0.5963 0.6831 0.5468 0.5963 0.6831 0.5990 0.6933 0.6462 0.5963 0.6831 0.5764 0.5963 0.5905 0.5963 0.4960 0.5963 0.5686 0.5963	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0005 0.0000
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5016 0.5399 0.4415 0.5016 0.5417 0.5048 0.5235 0.5016 0.5420 0.3986 0.5016 0.4480 0.5016 0.5417 0.5716 0.5374 0.5102 0.4517 0.5016 0.4766 0.5016 0.4015 0.5016 0.4758 0.5023 0.4285 0.4693 0.4519 0.4703 0.4632 0.4616 0.4563 0.4443 0.4675 0.4576	1.9256 1.9226 1.6629 1.9255 1.9270 1.9331 1.8599 1.9255 1.9271 1.5558 1.9255 1.7024 1.9255 1.9270 1.8984 1.9723 1.7032 1.6184 1.9255 1.7461 1.9255 1.5804 1.9255 1.7619 1.9302 1.6574 1.6215 1.8230 1.8445 1.7719 1.7592 1.6514 1.7400 1.7253 1.7994	0.2674 0.2395 0.1177 0.2673 0.2418 0.2690 0.2157 0.2673 0.2417 0.1062 0.2673 0.1445 0.2673 0.2418 0.2039 0.2684 0.1796 0.1149 0.2673 0.1672 0.2673 0.1345 0.2673 0.1888 0.2686 0.1845 0.1566 0.2286 0.1872 0.2280 0.1925 0.2365 0.1729 0.2357 0.1967	0.5963 0.6832 0.5213 0.5963 0.6831 0.6012 0.6650 0.5963 0.6838 0.4806 0.5963 0.5312 0.5963 0.6831 0.7462 0.6658 0.7191 0.5927 0.5963 0.5851 0.5963 0.4862 0.5963 0.5914 0.5985 0.5545 0.5472 0.5554 0.5924 0.5614 0.5724 0.5848 0.5656 0.5803 0.5552	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0004 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002	0.0000 0.0002 0.0104 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0000 0.0003 0.0000 0.0025 -0.0000 0.0048 0.0000 0.0101 0.0195 0.0215 0.0084 0.0186 0.0207 0.0135 0.0166 0.0130 0.0139
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5022 0.5266 0.5016 0.5428 0.3987 0.5016 0.5417 0.5016 0.5424 0.4728 0.5016 0.4912 0.5016 0.4179 0.5015 0.4085 0.5016 0.4866 0.5017 0.4153 0.5014 0.4193 0.5016 0.4401 0.5013 0.4235 0.5015 0.4283 0.5016 0.4204 0.5016 0.4465 0.5017 0.4277 0.4982	1.9263 1.8835 1.9255 1.9265 1.5553 1.9255 1.9270 1.9255 1.9275 1.7182 1.9255 1.7906 1.9256 1.5971 1.9254 1.5885 1.9255 1.7811 1.9261 1.6000 1.9186 1.5764 1.9254 1.6301 1.8893 1.6512 1.8672 1.6593 1.8946 1.6638 1.8803 1.6756 1.8873 1.6095 1.8778	0.2673 0.2401 0.2674 0.2408 0.1055 0.2673 0.2418 0.2673 0.2417 0.1222 0.2673 0.1816 0.2674 0.1537 0.2673 0.1373 0.2673 0.1752 0.2674 0.1528 0.2673 0.1467 0.2674 0.1623 0.2660 0.1437 0.2673 0.1615 0.2453 0.1676 0.2560 0.1570 0.2525 0.1666 0.2562	0.5966 0.6820 0.5963 0.6855 0.4811 0.5963 0.6831 0.5964 0.6847 0.5712 0.5963 0.6032 0.5964 0.5288 0.5963 0.4940 0.5963 0.5854 0.5965 0.5091 0.5972 0.5576 0.5972 0.5593 0.5879 0.5702 0.5697 0.5430 0.5697 0.5763 0.5695 0.5736 0.5566 0.5532 0.5802	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0002 0.0002 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0001 0.0001 0.0001 0.0000	0.0000 0.0001 -0.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 -0.0000 0.0001 0.0000 0.0007 0.0000 0.0063 0.0000 0.0082 0.0000 0.0077 0.0101 0.0133 0.0030 0.0124 0.0117 0.0127 0.0065 0.0133 0.0063 0.0138 0.0141
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5017 0.5330 0.4541 0.5016 0.5417 0.5040 0.5385 0.4991 0.5016 0.5416 0.5730 0.5016 0.5016 0.5417 0.4761 0.5016 0.4838 0.5016 0.4063 0.5016 0.4542 0.5016 0.4100 0.5016 0.4955 0.5024 0.4399 0.4510 0.4578 0.4107 0.4751 0.4763 0.4690 0.4473 0.4643	1.9255 1.9223 1.7010 1.9255 1.9270 1.9312 1.8955 1.7728 1.9255 1.9263 1.8958 1.9259 1.9255 1.9270 1.7231 1.9255 1.7752 1.9255 1.5815 1.9255 1.6962 1.9255 1.6088 1.9255 1.7913 1.9270 1.6148 1.7977 1.6768 1.7619 1.7014 1.7734 1.7441 1.7432 1.7287	0.2674 0.2373 0.1201 0.2673 0.2418 0.2685 0.2227 0.1858 0.2673 0.2414 0.1869 0.2677 0.2673 0.2418 0.1246 0.2673 0.1764 0.2673 0.1424 0.2673 0.1628 0.2673 0.1358 0.2673 0.1844 0.2679 0.1747 0.2074 0.2065 0.1877 0.2208 0.1926 0.2263 0.1673 0.2337	0.5974 0.6635 0.5470 0.5963 0.6831 0.5999 0.6815 0.6217 0.5963 0.6832 0.7458 0.5966 0.5963 0.6831 0.5764 0.5963 0.5906 0.5963 0.4960 0.5963 0.5683 0.5963 0.4837 0.5963 0.6069 0.5976 0.5528 0.5931 0.5709 0.5632 0.5728 0.5350 0.5692 0.5418 0.5777	0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0002 0.0001 0.0003 0.0002 0.0001 0.0001	0.0000 0.0021 0.0125 0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0005 0.0000 0.0007 0.0000 0.0008 0.0000 0.0081 0.0195 0.0176 0.0114 0.0114 0.0150 0.0143 0.0126 0.0121
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5020 0.5234 0.4736 0.5016 0.5417 0.5016 0.5424 0.4729 0.5016 0.4910 0.5016 0.4174 0.5015 0.4094 0.5016 0.4852 0.5017 0.4129 0.5013 0.4224 0.5017 0.4452 0.4999 0.4165 0.5015 0.4296 0.4838 0.4415 0.4930 0.4381 0.4913 0.4282 0.4961 0.4424 0.4887	1.9257 1.9152 1.7334 1.9255 1.9270 1.9255 1.9274 1.7183 1.9255 1.7902 1.9256 1.5964 1.9254 1.5909 1.9255 1.7789 1.9261 1.5971 1.9193 1.5867 1.9255 1.6386 1.8694 1.6479 1.8831 1.6432 1.8935 1.6983 1.8804 1.6294 1.9072 1.6922 1.8868 1.6637 1.8443	0.2677 0.2291 0.1466 0.2673 0.2418 0.2673 0.2417 0.1223 0.2673 0.1814 0.2674 0.1533 0.2673 0.1377 0.2673 0.1740 0.2674 0.1511 0.2673 0.1471 0.2673 0.1558 0.2673 0.1457 0.2673 0.1585 0.2674 0.1461 0.2633 0.1613 0.2670 0.1652 0.2473 0.1630 0.2480	0.5967 0.6821 0.5853 0.5963 0.6831 0.5964 0.6846 0.5713 0.5963 0.6028 0.5964 0.5276 0.5963 0.4954 0.5963 0.5816 0.5964 0.5069 0.5970 0.5589 0.5971 0.5492 0.5836 0.5736 0.5744 0.5526 0.5754 0.5479 0.5662 0.5412 0.5771 0.5634 0.5673 0.5284 0.5883	0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0001 0.0000 0.0002 0.0001 0.0001 0.0002 0.0001 0.0000 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0001 0.0001	0.0000 0.0002 0.0083 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0001 0.0000 0.0008 0.0000 0.0064 0.0000 0.0080 0.0000 0.0076 0.0129 0.0129 0.0079 0.0113 0.0069 0.0119 0.0083 0.0181 0.0081 0.0144 0.0233 0.0135 0.0136
