	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap	variance	mutual_information
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4737 0.4524 0.6151 0.7639 0.8073 0.8196 0.7093 0.8248 0.7884 0.7423 0.7563 0.7481 0.3855 0.3302 0.4732 0.5888 0.7899 0.8130 0.4196 0.1404 0.0959 0.1988 0.4009 0.2128 0.2117 0.2329 0.0774 0.1465 0.2871 0.4633 0.5586 0.1854 0.3198 0.4005 0.4637	1.4717 1.5033 1.9394 2.2403 2.3874 2.4081 2.2651 2.4566 2.4143 2.3337 2.3422 2.3245 1.4988 1.2570 1.6312 1.9373 2.3077 2.3626 1.6125 0.6632 0.4855 0.8789 1.4942 0.9753 0.9806 1.0557 0.4326 0.7258 1.2169 1.7297 1.9250 0.8685 1.3218 1.5301 1.6577	0.1006 0.1148 0.1983 0.2691 0.3148 0.3198 0.2828 0.3381 0.3259 0.3058 0.3050 0.3043 0.1435 0.0984 0.1536 0.2087 0.2866 0.3009 0.1650 0.0350 0.0219 0.0569 0.1329 0.0844 0.0898 0.0981 0.0286 0.0565 0.1127 0.1899 0.2198 0.0714 0.1272 0.1482 0.1595	0.5404 0.5214 0.7065 0.8649 0.9101 0.9221 0.8125 0.9266 0.8899 0.8402 0.8559 0.8439 0.4551 0.3899 0.5524 0.6822 0.8961 0.9199 0.4946 0.1693 0.1164 0.2379 0.4685 0.2565 0.2545 0.2798 0.0960 0.1765 0.3383 0.5377 0.6369 0.2195 0.3747 0.4668 0.5388	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5389 0.2709 0.2750 0.1287 0.1032 0.2114 0.3191 0.4007 0.3084 0.3716 0.3997 0.4963 0.5234 0.1476 0.2721 0.3630 0.4367 0.4842 0.5134 0.5295 0.5384 0.5424 0.5447 0.5457 0.5463 0.5462 0.5464 0.5463 0.5461 0.5456 0.5451 0.5455 0.5458 0.5457 0.5450	1.5046 1.0583 1.1075 0.5784 0.4944 0.8964 1.2702 1.5438 1.2955 1.4882 1.5797 1.8316 1.8932 0.7335 1.1798 1.4354 1.5997 1.6847 1.7248 1.7415 1.7477 1.7507 1.7506 1.7498 1.7490 1.7475 1.7473 1.7461 1.7458 1.7454 1.7437 1.7440 1.7441 1.7432 1.7430	0.0971 0.0636 0.0790 0.0224 0.0191 0.0540 0.1067 0.1533 0.1243 0.1530 0.1698 0.2074 0.2172 0.0584 0.1092 0.1356 0.1512 0.1581 0.1604 0.1610 0.1607 0.1602 0.1595 0.1589 0.1585 0.1583 0.1579 0.1579 0.1576 0.1574 0.1574 0.1573 0.1574 0.1573 0.1573	0.6099 0.3178 0.3225 0.1505 0.1224 0.2492 0.3738 0.4696 0.3676 0.4392 0.4703 0.5795 0.6086 0.1787 0.3232 0.4278 0.5107 0.5641 0.5959 0.6142 0.6235 0.6284 0.6310 0.6321 0.6324 0.6328 0.6323 0.6326 0.6319 0.6324 0.6317 0.6315 0.6314 0.6311 0.6306	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5396 0.3919 0.1392 0.1252 0.1547 0.1708 0.3470 0.2490 0.2431 0.3391 0.3716 0.1901 0.4681 0.5481 0.5845 0.7775 0.8106 0.7877 0.4110 0.4014 0.3776 0.4925 0.6753 0.2250 0.3380 0.4060 0.4617 0.4990 0.5216 0.5342 0.5414 0.5447 0.5468 0.5473 0.5471	1.5080 1.3980 0.6619 0.6158 0.7390 0.8069 1.4021 1.1143 1.0933 1.3943 1.4051 0.8541 1.6916 1.8993 2.0070 2.3783 2.4032 2.3763 1.5662 1.5503 1.4978 1.8085 2.2107 1.0284 1.3918 1.5625 1.6718 1.7250 1.7483 1.7564 1.7579 1.7570 1.7549 1.7529 1.7506	0.0979 0.0884 0.0328 0.0330 0.0469 0.0573 0.1312 0.1035 0.1015 0.1407 0.1274 0.0612 0.1708 0.2079 0.2296 0.3105 0.3157 0.3082 0.1462 0.1478 0.1472 0.1971 0.2732 0.0921 0.1376 0.1540 0.1620 0.1646 0.1645 0.1635 0.1622 0.1612 0.1604 0.1597 0.1590	0.6110 0.4669 0.1706 0.1550 0.1899 0.2084 0.4121 0.2990 0.2916 0.3974 0.4343 0.2272 0.5456 0.6346 0.6759 0.8807 0.9120 0.8904 0.4880 0.4783 0.4497 0.5771 0.7717 0.2687 0.3976 0.4767 0.5395 0.5813 0.6063 0.6202 0.6278 0.6314 0.6335 0.6341 0.6343	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5390 0.2429 0.2450 0.2402 0.2284 0.1242 0.2269 0.2053 0.1097 0.2553 0.3980 0.4277 0.5745 0.4881 0.5555 0.2162 0.2539 0.4522 0.1589 0.2037 0.3548 0.4816 0.3511 0.0905 0.1996 0.3024 0.3957 0.4600 0.4988 0.5213 0.5336 0.5402 0.5435 0.5453 0.5466	1.5064 0.9237 0.9728 0.9906 0.9774 0.6168 1.0100 0.9486 0.5723 1.1154 1.5636 1.4694 1.8235 1.6269 1.8389 0.9510 1.0746 1.6607 0.7685 0.9338 1.4324 1.7548 1.4427 0.4966 0.9360 1.2640 1.5019 1.6328 1.6970 1.7269 1.7404 1.7460 1.7480 1.7485 1.7484	0.0976 0.0402 0.0515 0.0609 0.0654 0.0367 0.0819 0.0799 0.0388 0.0978 0.1633 0.1304 0.1916 0.1600 0.2008 0.0619 0.0754 0.1597 0.0565 0.0749 0.1421 0.1892 0.1523 0.0362 0.0829 0.1163 0.1397 0.1518 0.1573 0.1594 0.1596 0.1595 0.1594 0.1590 0.1586	0.6097 0.2830 0.2892 0.2851 0.2728 0.1509 0.2714 0.2484 0.1357 0.3066 0.4686 0.4956 0.6577 0.5611 0.6413 0.2633 0.3064 0.5320 0.1939 0.2455 0.4189 0.5550 0.4111 0.1104 0.2387 0.3582 0.4648 0.5376 0.5809 0.6052 0.6186 0.6255 0.6295 0.6315 0.6320	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5398 0.3575 0.3120 0.4449 0.5022 0.6509 0.5518 0.6183 0.6392 0.5060 0.1483 0.2842 0.4576 0.3969 0.3770 0.1544 0.2902 0.3699 0.3386 0.5403 0.7344 0.7697 0.2908 0.4017 0.4528 0.4943 0.5202 0.5361 0.5438 0.5469 0.5481 0.5486 0.5483 0.5479 0.5476	1.5071 1.3058 1.2638 1.6495 1.8119 2.1343 1.9504 2.0936 2.1211 1.8502 0.7370 1.2236 1.7415 1.5677 1.5166 0.7506 1.2328 1.4844 1.3945 1.9499 2.3281 2.3584 1.2389 1.5662 1.6723 1.7341 1.7616 1.7690 1.7693 1.7663 1.7616 1.7584 1.7554 1.7516 1.7500	0.0977 0.0843 0.0981 0.1567 0.1889 0.2499 0.2236 0.2512 0.2530 0.2077 0.0577 0.1151 0.1951 0.1645 0.1596 0.0537 0.1122 0.1495 0.1391 0.2308 0.3015 0.3090 0.1187 0.1626 0.1700 0.1717 0.1702 0.1681 0.1653 0.1634 0.1620 0.1611 0.1600 0.1593 0.1588	0.6120 0.4238 0.3771 0.5287 0.5881 0.7466 0.6389 0.7108 0.7337 0.5945 0.1824 0.3392 0.5327 0.4688 0.4459 0.1898 0.3477 0.4362 0.4024 0.6295 0.8363 0.8652 0.3408 0.4674 0.5265 0.5737 0.6040 0.6201 0.6295 0.6340 0.6355 0.6359 0.6358 0.6352 0.6347	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5373 0.2419 0.1295 0.2496 0.3031 0.4089 0.5299 0.5380 0.3067 0.3554 0.1358 0.0665 0.0357 0.1703 0.2824 0.2576 0.3670 0.4897 0.2297 0.1321 0.0882 0.1320 0.2193 0.3736 0.6070 0.1945 0.3207 0.3949 0.4538 0.4935 0.5177 0.5316 0.5390 0.5436 0.5457	1.5097 0.9237 0.6199 1.0586 1.2432 1.5438 1.8567 1.8950 1.3064 1.4598 0.6928 0.3825 0.2245 0.8160 1.2121 1.1294 1.4725 1.8093 0.9657 0.6276 0.4679 0.6573 0.9976 1.4949 2.1025 0.9219 1.3460 1.5357 1.6545 1.7153 1.7427 1.7526 1.7550 1.7540 1.7526	0.0984 0.0403 0.0305 0.0768 0.1050 0.1496 0.1993 0.2121 0.1332 0.1570 0.0585 0.0250 0.0115 0.0637 0.1118 0.1005 0.1481 0.2013 0.0612 0.0325 0.0257 0.0451 0.0866 0.1546 0.2618 0.0845 0.1368 0.1544 0.1623 0.1644 0.1641 0.1632 0.1619 0.1609 0.1600	0.6080 0.2831 0.1571 0.2983 0.3601 0.4751 0.6125 0.6242 0.3650 0.4191 0.1652 0.0831 0.0454 0.2063 0.3380 0.3117 0.4355 0.5721 0.2721 0.1581 0.1078 0.1603 0.2628 0.4392 0.6965 0.2327 0.3783 0.4635 0.5305 0.5756 0.6021 0.6171 0.6256 0.6300 0.6316	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5389 0.5237 0.5987 0.7756 0.8167 0.5459 0.5201 0.5063 0.4520 0.1704 0.2897 0.2952 0.2935 0.0765 0.1798 0.2849 0.3826 0.4513 0.4939 0.5183 0.5314 0.5388 0.5429 0.5447 0.5454 0.5461 0.5459 0.5457 0.5458 0.5458 0.5457 0.5453 0.5448 0.5457 0.5456	1.5043 1.5788 1.8691 2.2564 2.3369 1.8916 1.8566 1.8477 1.7375 0.8320 1.2512 1.2690 1.2662 0.4302 0.8600 1.2098 1.4700 1.6158 1.6887 1.7227 1.7378 1.7448 1.7471 1.7474 1.7465 1.7464 1.7469 1.7457 1.7450 1.7447 1.7445 1.7440 1.7429 1.7428 1.7427	0.0971 0.1181 0.1745 0.2716 0.2917 0.1965 0.1978 0.2059 0.1973 0.0741 0.1249 0.1261 0.1262 0.0290 0.0724 0.1086 0.1347 0.1488 0.1554 0.1584 0.1590 0.1592 0.1589 0.1585 0.1583 0.1581 0.1578 0.1576 0.1575 0.1574 0.1575 0.1573 0.1572 0.1571 0.1570	0.6099 0.5968 0.6949 0.8806 0.9231 0.6358 0.6066 0.5904 0.5305 0.2066 0.3431 0.3505 0.3491 0.0941 0.2161 0.3390 0.4511 0.5282 0.5751 0.6017 0.6165 0.6246 0.6286 0.6307 0.6325 0.6319 0.6325 0.6326 0.6323 0.6311 0.6310 0.6317 0.6314 0.6316 0.6322	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5389 0.2870 0.2831 0.2867 0.1175 0.1735 0.3153 0.0977 0.2173 0.3202 0.4089 0.4687 0.5043 0.5246 0.5353 0.5415 0.5443 0.5455 0.5463 0.5467 0.5464 0.5465 0.5459 0.5459 0.5460 0.5458 0.5454 0.5454 0.5453 0.5454 0.5456 0.5454 0.5452 0.5457 0.5451	1.5044 1.1030 1.1563 1.2188 0.6095 0.8408 1.3346 0.5274 0.9982 1.3187 1.5390 1.6554 1.7112 1.7345 1.7457 1.7502 1.7500 1.7495 1.7482 1.7477 1.7468 1.7459 1.7453 1.7449 1.7443 1.7440 1.7441 1.7441 1.7433 1.7431 1.7427 1.7432 1.7431 1.7429 1.7432	0.0972 0.0673 0.0880 0.1095 0.0451 0.0741 0.1374 0.0383 0.0887 0.1218 0.1433 0.1542 0.1586 0.1600 0.1602 0.1598 0.1595 0.1592 0.1587 0.1585 0.1580 0.1579 0.1577 0.1576 0.1575 0.1573 0.1571 0.1572 0.1571 0.1571 0.1571 0.1572 0.1571 0.1571 0.1572	0.6097 0.3377 0.3360 0.3432 0.1447 0.2109 0.3743 0.1198 0.2605 0.3798 0.4807 0.5478 0.5878 0.6099 0.6223 0.6284 0.6309 0.6322 0.6325 0.6327 0.6331 0.6330 0.6329 0.6326 0.6325 0.6319 0.6317 0.6321 0.6313 0.6316 0.6313 0.6315 0.6310 0.6311 0.6310	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5390 0.2874 0.1229 0.1859 0.0844 0.0909 0.2265 0.2554 0.3181 0.3930 0.5520 0.4628 0.1143 0.2300 0.3254 0.4092 0.4676 0.5024 0.5233 0.5342 0.5404 0.5438 0.5453 0.5460 0.5461 0.5460 0.5458 0.5459 0.5455 0.5458 0.5452 0.5452 0.5455 0.5453 0.5459	1.5042 1.1019 0.5953 0.8471 0.4572 0.4903 1.0233 1.1157 1.3185 1.5333 1.9442 1.7375 0.5966 1.0390 1.3293 1.5350 1.6500 1.7055 1.7317 1.7436 1.7475 1.7485 1.7486 1.7477 1.7477 1.7465 1.7457 1.7453 1.7444 1.7443 1.7438 1.7439 1.7432 1.7432 1.7434	0.0970 0.0672 0.0303 0.0569 0.0267 0.0312 0.0904 0.1005 0.1267 0.1526 0.2203 0.1891 0.0440 0.0924 0.1226 0.1426 0.1531 0.1576 0.1594 0.1597 0.1596 0.1591 0.1587 0.1585 0.1581 0.1580 0.1577 0.1576 0.1574 0.1573 0.1572 0.1574 0.1572 0.1574 0.1571	0.6099 0.3371 0.1484 0.2236 0.1041 0.1133 0.2740 0.3105 0.3836 0.4678 0.6433 0.5435 0.1395 0.2752 0.3852 0.4809 0.5454 0.5849 0.6072 0.6195 0.6264 0.6299 0.6314 0.6316 0.6327 0.6325 0.6321 0.6323 0.6317 0.6319 0.6316 0.6320 0.6318 0.6316 0.6313	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 9 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.5389 0.6447 0.7085 0.4197 0.4283 0.1140 0.2267 0.3241 0.4091 0.4670 0.5023 0.5223 0.5343 0.5404 0.5433 0.5445 0.5452 0.5457 0.5460 0.5458 0.5458 0.5456 0.5459 0.5449 0.5450 0.5449 0.5452 0.5450 0.5448 0.5449 0.5453 0.5453 0.5448 0.5448 0.5452	1.5036 1.8067 2.0114 1.5227 1.5833 0.5868 1.0179 1.3133 1.5245 1.6400 1.6984 1.7257 1.7395 1.7449 1.7467 1.7479 1.7483 1.7467 1.7456 1.7456 1.7442 1.7439 1.7433 1.7431 1.7430 1.7424 1.7428 1.7432 1.7427 1.7433 1.7423 1.7424 1.7427 1.7426 1.7424	0.0970 0.1590 0.2079 0.1318 0.1478 0.0382 0.0844 0.1160 0.1380 0.1499 0.1555 0.1579 0.1588 0.1588 0.1588 0.1586 0.1583 0.1580 0.1578 0.1576 0.1575 0.1575 0.1573 0.1574 0.1572 0.1571 0.1573 0.1572 0.1572 0.1570 0.1568 0.1569 0.1571 0.1572 0.1573	0.6096 0.7286 0.7999 0.4855 0.4971 0.1379 0.2698 0.3825 0.4792 0.5443 0.5838 0.6064 0.6193 0.6264 0.6296 0.6309 0.6317 0.6319 0.6322 0.6322 0.6321 0.6317 0.6315 0.6322 0.6322 0.6318 0.6316 0.6318 0.6312 0.6309 0.6317 0.6314 0.6312 0.6314 0.6314	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
