	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 6 18 18 18 18 18 18 18 18 6 18 18 18 18 6 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0152 0.0215 0.0316 0.1496 0.2981 0.1607 0.0261 0.3865 0.2136 0.0038 0.0160 0.0234 0.0001 0.0003 0.0017 0.0092 0.3770 0.2747 0.0900 0.0001 0.0045 0.2152 0.3734 0.0025 0.0000 0.0001 0.0000 0.0000 0.0001 0.0003 0.0000 0.0000 0.0006 0.0031 0.0071	0.0844 0.1288 0.2062 0.7528 1.2950 0.8038 0.1566 1.0059 0.8593 0.0308 0.1087 0.1493 0.0009 0.0029 0.0157 0.0631 0.8623 0.7583 0.3538 0.0015 0.0304 0.7393 0.7078 0.0188 0.0002 0.0007 0.0005 0.0002 0.0014 0.0032 0.0001 0.0000 0.0053 0.0215 0.0430	0.0007 0.0045 0.0181 0.0780 0.1355 0.0803 0.0068 0.0435 0.0435 0.0010 0.0039 0.0064 0.0000 0.0001 0.0005 0.0020 0.0307 0.0124 0.0018 0.0000 0.0002 0.0151 0.0066 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001	0.0152 0.0230 0.0350 0.1651 0.3544 0.2046 0.0293 0.4033 0.2339 0.0040 0.0175 0.0243 0.0001 0.0003 0.0019 0.0097 0.3859 0.2764 0.0904 0.0001 0.0046 0.2276 0.3755 0.0026 0.0000 0.0001 0.0001 0.0000 0.0002 0.0006 0.0000 0.0000 0.0006 0.0032 0.0071
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 6 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0199 0.0591 0.3077 0.0001 0.0052 0.5995 0.0260 0.0102 0.0001 0.3144 0.0010 0.0005 0.0078 0.0000 0.0009 0.0012 0.0019 0.0043 0.0146 0.0414 0.0648 0.0655 0.0575 0.0524 0.0500 0.0459 0.0395 0.0330 0.0277 0.0236 0.0206 0.0184 0.0169 0.0159 0.0153	0.1211 0.2875 0.7615 0.0012 0.0404 1.6539 0.1589 0.0762 0.0011 0.9976 0.0094 0.0046 0.0533 0.0003 0.0083 0.0105 0.0161 0.0322 0.0868 0.1938 0.2758 0.2847 0.2596 0.2397 0.2284 0.2129 0.1903 0.1665 0.1457 0.1287 0.1152 0.1050 0.0976 0.0928 0.0896	0.0019 0.0056 0.0185 0.0000 0.0010 0.1036 0.0072 0.0051 0.0001 0.0208 0.0004 0.0001 0.0012 0.0000 0.0001 0.0002 0.0004 0.0007 0.0012 0.0020 0.0025 0.0026 0.0025 0.0025 0.0024 0.0023 0.0023 0.0022 0.0021 0.0020 0.0019 0.0017 0.0016 0.0015 0.0015	0.0218 0.0664 0.5968 0.0002 0.0076 0.7259 0.0280 0.0114 0.0001 0.3443 0.0014 0.0007 0.0136 0.0000 0.0011 0.0014 0.0022 0.0047 0.0152 0.0422 0.0656 0.0662 0.0580 0.0530 0.0505 0.0464 0.0400 0.0336 0.0283 0.0243 0.0212 0.0189 0.0174 0.0164 0.0157
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0229 0.0166 0.0010 0.0003 0.0006 0.0001 0.0005 0.0001 0.0003 0.0000 0.0002 0.0025 0.0008 0.0011 0.0004 0.0000 0.0000 0.0000 0.0000 0.0001 0.0002 0.0009 0.0028 0.0000 0.0026 0.0108 0.0520 0.1097 0.1451 0.1554 0.1431 0.1120 0.0783 0.0531 0.0370	0.1350 0.1048 0.0098 0.0027 0.0061 0.0013 0.0048 0.0012 0.0028 0.0002 0.0021 0.0184 0.0070 0.0098 0.0035 0.0001 0.0001 0.0002 0.0000 0.0007 0.0023 0.0078 0.0234 0.0004 0.0193 0.0620 0.2126 0.3707 0.4733 0.5245 0.5101 0.4331 0.3330 0.2460 0.1843	0.0021 0.0024 0.0004 0.0001 0.0001 0.0000 0.0001 0.0001 0.0000 0.0000 0.0000 0.0001 0.0001 0.0003 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0008 0.0000 0.0002 0.0002 0.0005 0.0009 0.0013 0.0019 0.0025 0.0029 0.0028 0.0025 0.0021	0.0246 0.0177 0.0011 0.0004 0.0008 0.0001 0.0005 0.0001 0.0003 0.0000 0.0002 0.0026 0.0009 0.0019 0.0006 0.0000 0.0000 0.0000 0.0000 0.0001 0.0002 0.0009 0.0035 0.0000 0.0027 0.0109 0.0521 0.1097 0.1451 0.1555 0.1434 0.1125 0.0789 0.0536 0.0375
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0138 0.0003 0.0022 0.0001 0.0003 0.0040 0.0075 0.0000 0.0008 0.0015 0.0144 0.0001 0.0072 0.0001 0.0004 0.0000 0.0003 0.0003 0.0000 0.0000 0.0002 0.0000 0.0003 0.0000 0.0011 0.0036 0.0101 0.0227 0.0456 0.0691 0.0719 0.0532 0.0301 0.0163 0.0112	0.0888 0.0027 0.0178 0.0013 0.0031 0.0266 0.0460 0.0005 0.0077 0.0133 0.0922 0.0011 0.0437 0.0006 0.0039 0.0001 0.0032 0.0029 0.0002 0.0004 0.0021 0.0002 0.0032 0.0001 0.0086 0.0239 0.0571 0.1129 0.2028 0.2914 0.3168 0.2601 0.1672 0.1009 0.0726	0.0016 0.0001 0.0003 0.0000 0.0000 0.0001 0.0002 0.0000 0.0002 0.0005 0.0044 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0004 0.0011 0.0024 0.0037 0.0039 0.0030 0.0021 0.0015	0.0149 0.0003 0.0023 0.0001 0.0004 0.0040 0.0076 0.0000 0.0009 0.0016 0.0147 0.0001 0.0073 0.0001 0.0005 0.0000 0.0004 0.0004 0.0000 0.0001 0.0004 0.0000 0.0006 0.0000 0.0011 0.0036 0.0101 0.0227 0.0458 0.0697 0.0730 0.0543 0.0309 0.0168 0.0116
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0103 0.0183 0.0284 0.0876 0.1934 0.0147 0.0075 0.0045 0.0010 0.0001 0.0007 0.3004 0.0697 0.0008 0.1997 0.0000 0.0328 0.0007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.0017 0.0058 0.0137 0.0288 0.0452 0.0509 0.0415 0.0258 0.0150 0.0104 0.0088	0.0708 0.1176 0.1507 0.3144 0.6349 0.0970 0.0591 0.0381 0.0100 0.0015 0.0063 0.8496 0.3134 0.0077 0.5791 0.0006 0.1648 0.0068 0.0000 0.0000 0.0003 0.0001 0.0000 0.0045 0.0127 0.0362 0.0742 0.1381 0.2051 0.2372 0.2100 0.1459 0.0934 0.0677 0.0580	0.0013 0.0027 0.0025 0.0020 0.0163 0.0034 0.0031 0.0021 0.0004 0.0001 0.0001 0.0086 0.0042 0.0001 0.0067 0.0000 0.0020 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0004 0.0010 0.0018 0.0023 0.0021 0.0016 0.0013 0.0010	0.0113 0.0194 0.0529 0.1730 0.3566 0.0241 0.0104 0.0058 0.0014 0.0002 0.0010 0.5306 0.1242 0.0012 0.2037 0.0001 0.0330 0.0008 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.0017 0.0059 0.0138 0.0289 0.0454 0.0514 0.0423 0.0265 0.0154 0.0107 0.0090
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0145 0.0002 0.0095 0.0125 0.0006 0.0002 0.1747 0.0242 0.0016 0.0001 0.0000 0.0000 0.0000 0.0074 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0013 0.0004 0.0007 0.0002 0.0202 0.0002 0.0075 0.0027 0.0019 0.0019 0.0028 0.0040 0.0051 0.0060 0.0068	0.0930 0.0026 0.0656 0.0895 0.0060 0.0024 0.5665 0.1518 0.0136 0.0007 0.0002 0.0002 0.0003 0.0468 0.0016 0.0001 0.0004 0.0005 0.0000 0.0001 0.0111 0.0034 0.0071 0.0018 0.1299 0.0017 0.0496 0.0215 0.0155 0.0156 0.0215 0.0295 0.0365 0.0422 0.0471	0.0015 0.0001 0.0012 0.0041 0.0003 0.0000 0.0078 0.0040 0.0002 0.0000 0.0000 0.0000 0.0000 0.0003 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0001 0.0001 0.0040 0.0001 0.0008 0.0004 0.0003 0.0003 0.0004 0.0005 0.0007 0.0009 0.0010	0.0154 0.0003 0.0125 0.0182 0.0007 0.0004 0.3393 0.0377 0.0030 0.0001 0.0000 0.0000 0.0000 0.0141 0.0002 0.0000 0.0000 0.0001 0.0000 0.0000 0.0014 0.0004 0.0009 0.0002 0.0244 0.0002 0.0076 0.0028 0.0019 0.0020 0.0029 0.0041 0.0052 0.0062 0.0070
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0177 0.0564 0.0025 0.4769 0.0076 0.0004 0.0901 0.0010 0.0062 0.0020 0.0077 0.0013 0.0041 0.0000 0.0016 0.0041 0.0077 0.0126 0.0193 0.0258 0.0289 0.0272 0.0232 0.0193 0.0166 0.0149 0.0141 0.0138 0.0139 0.0143 0.0147 0.0150 0.0153 0.0153 0.0153	0.1091 0.2489 0.0197 1.2397 0.0574 0.0043 0.4644 0.0093 0.0405 0.0154 0.0498 0.0120 0.0333 0.0004 0.0120 0.0273 0.0461 0.0703 0.1013 0.1313 0.1466 0.1417 0.1251 0.1078 0.0947 0.0866 0.0824 0.0810 0.0817 0.0834 0.0855 0.0873 0.0886 0.0891 0.0890	0.0018 0.0039 0.0005 0.0567 0.0034 0.0003 0.0252 0.0004 0.0002 0.0000 0.0002 0.0002 0.0010 0.0000 0.0001 0.0001 0.0002 0.0003 0.0005 0.0007 0.0010 0.0012 0.0012 0.0012 0.0011 0.0010 0.0010 0.0010 0.0011 0.0011 0.0012 0.0012 0.0013 0.0013 0.0013	0.0189 0.0580 0.0028 0.5056 0.0086 0.0005 0.1147 0.0012 0.0067 0.0024 0.0090 0.0018 0.0052 0.0000 0.0016 0.0042 0.0077 0.0127 0.0194 0.0259 0.0290 0.0274 0.0233 0.0195 0.0167 0.0151 0.0142 0.0140 0.0142 0.0145 0.0150 0.0154 0.0156 0.0157 0.0157
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 9 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0178 0.1194 0.0017 0.0043 0.0016 0.0050 0.0051 0.0005 0.4435 0.1217 0.2104 0.6362 0.4125 0.1955 0.0874 0.0428 0.0245 0.0172 0.0144 0.0134 0.0131 0.0132 0.0134 0.0138 0.0141 0.0143 0.0144 0.0144 0.0143 0.0142 0.0140 0.0137 0.0135 0.0134 0.0133	0.1098 0.4058 0.0148 0.0327 0.0137 0.0352 0.0374 0.0045 0.6884 0.3759 0.6239 1.1082 0.9561 0.6410 0.3714 0.2154 0.1366 0.1009 0.0862 0.0806 0.0789 0.0789 0.0800 0.0814 0.0826 0.0836 0.0843 0.0846 0.0843 0.0837 0.0827 0.0816 0.0806 0.0797 0.0791	0.0017 0.0035 0.0004 0.0005 0.0001 0.0001 0.0002 0.0000 0.0002 0.0003 0.0014 0.0035 0.0044 0.0045 0.0038 0.0029 0.0021 0.0017 0.0015 0.0014 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0013 0.0012 0.0012	0.0191 0.1234 0.0023 0.0066 0.0024 0.0068 0.0063 0.0005 0.4430 0.1215 0.2103 0.6369 0.4134 0.1965 0.0882 0.0433 0.0248 0.0174 0.0146 0.0137 0.0134 0.0134 0.0137 0.0140 0.0143 0.0146 0.0147 0.0148 0.0147 0.0146 0.0143 0.0141 0.0139 0.0137 0.0136
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 9 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0183 0.1266 0.0003 0.1595 0.0033 0.0012 0.0089 0.0007 0.0700 0.0090 0.1813 0.0245 0.0004 0.0063 0.0018 0.0018 0.0025 0.0049 0.0107 0.0171 0.0181 0.0150 0.0117 0.0096 0.0086 0.0084 0.0086 0.0089 0.0092 0.0095 0.0096 0.0098 0.0099 0.0102 0.0105	0.1117 0.4227 0.0028 0.6167 0.0263 0.0108 0.0608 0.0066 0.3220 0.0607 0.7519 0.1491 0.0041 0.0467 0.0168 0.0158 0.0205 0.0354 0.0674 0.1002 0.1069 0.0925 0.0749 0.0630 0.0572 0.0557 0.0566 0.0585 0.0603 0.0615 0.0622 0.0626 0.0633 0.0643 0.0656	0.0017 0.0035 0.0001 0.0154 0.0004 0.0001 0.0009 0.0002 0.0049 0.0014 0.0405 0.0052 0.0001 0.0017 0.0010 0.0008 0.0007 0.0009 0.0015 0.0022 0.0026 0.0023 0.0019 0.0015 0.0013 0.0012 0.0012 0.0012 0.0013 0.0013 0.0012 0.0012 0.0012 0.0012 0.0012	0.0196 0.1315 0.0003 0.1641 0.0034 0.0013 0.0090 0.0007 0.0728 0.0094 0.1902 0.0266 0.0006 0.0103 0.0023 0.0019 0.0026 0.0050 0.0109 0.0175 0.0186 0.0155 0.0121 0.0100 0.0090 0.0088 0.0090 0.0094 0.0098 0.0100 0.0102 0.0103 0.0104 0.0106 0.0109
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0179 0.1458 0.0036 0.0002 0.0018 0.0000 0.0000 0.0002 0.0060 0.0856 0.3039 0.3734 0.3095 0.2209 0.1502 0.1001 0.0630 0.0399 0.0280 0.0225 0.0199 0.0184 0.0175 0.0169 0.0165 0.0161 0.0158 0.0155 0.0152 0.0149 0.0145 0.0143 0.0140 0.0138 0.0136	0.1109 0.6115 0.0309 0.0026 0.0158 0.0000 0.0005 0.0024 0.0381 0.2989 0.6389 0.7668 0.8037 0.6896 0.5383 0.4029 0.2848 0.1989 0.1493 0.1243 0.1117 0.1045 0.0998 0.0967 0.0946 0.0929 0.0913 0.0897 0.0882 0.0866 0.0851 0.0838 0.0826 0.0816 0.0808	0.0017 0.0262 0.0020 0.0002 0.0006 0.0000 0.0000 0.0000 0.0001 0.0005 0.0015 0.0029 0.0044 0.0050 0.0049 0.0044 0.0035 0.0028 0.0023 0.0020 0.0018 0.0017 0.0016 0.0015 0.0015 0.0014 0.0014 0.0014 0.0013 0.0013 0.0013 0.0013 0.0012 0.0012 0.0012	0.0193 0.1652 0.0047 0.0003 0.0028 0.0000 0.0001 0.0003 0.0061 0.0862 0.3047 0.3741 0.3104 0.2221 0.1517 0.1014 0.0641 0.0406 0.0286 0.0230 0.0203 0.0188 0.0178 0.0172 0.0168 0.0165 0.0162 0.0159 0.0155 0.0152 0.0149 0.0146 0.0144 0.0141 0.0140
